channel,voucher_code,short_url,destination_url
X,B26-SPK-PD-X,https://go.alpinechain.xyz/b26-pd-x,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-PD-X&utm_source=x&utm_medium=social&utm_campaign=bonly26_speakers&utm_content=polto_darko_origine_bitcoins
LinkedIn Annecy Bitcoin Meetup,B26-SPK-PD-LIABM,https://go.alpinechain.xyz/b26-pd-li-abm,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-PD-LIABM&utm_source=linkedin_abm&utm_medium=social&utm_campaign=bonly26_speakers&utm_content=polto_darko_origine_bitcoins
LinkedIn AlpineChain,B26-SPK-PD-LIAC,https://go.alpinechain.xyz/b26-pd-li-ac,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-PD-LIAC&utm_source=linkedin_alpinechain&utm_medium=social&utm_campaign=bonly26_speakers&utm_content=polto_darko_origine_bitcoins
Facebook,B26-SPK-PD-FB,https://go.alpinechain.xyz/b26-pd-fb,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-PD-FB&utm_source=facebook&utm_medium=social&utm_campaign=bonly26_speakers&utm_content=polto_darko_origine_bitcoins
Instagram,B26-SPK-PD-IG,https://go.alpinechain.xyz/b26-pd-ig,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-PD-IG&utm_source=instagram&utm_medium=social&utm_campaign=bonly26_speakers&utm_content=polto_darko_origine_bitcoins
Nostr,B26-SPK-PD-NOSTR,https://go.alpinechain.xyz/b26-pd-nostr,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-PD-NOSTR&utm_source=nostr&utm_medium=social&utm_campaign=bonly26_speakers&utm_content=polto_darko_origine_bitcoins
Blog,B26-SPK-PD-BLOG,https://go.alpinechain.xyz/b26-pd-blog,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-PD-BLOG&utm_source=blog&utm_medium=article&utm_campaign=bonly26_speakers&utm_content=polto_darko_origine_bitcoins
