channel,voucher_code,short_url,destination_url,status
X,B26-SPK-PN-X,https://go.alpinechain.xyz/b26-pn-x,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-PN-X&utm_source=x&utm_medium=social&utm_campaign=bonly26_speakers&utm_content=pierre_noizat_energie_monnaie,À créer et vérifier
LinkedIn Annecy Bitcoin Meetup,B26-SPK-PN-LIABM,https://go.alpinechain.xyz/b26-pn-li-abm,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-PN-LIABM&utm_source=linkedin_abm&utm_medium=social&utm_campaign=bonly26_speakers&utm_content=pierre_noizat_energie_monnaie,À créer et vérifier
LinkedIn AlpineChain,B26-SPK-PN-LIAC,https://go.alpinechain.xyz/b26-pn-li-ac,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-PN-LIAC&utm_source=linkedin_alpinechain&utm_medium=social&utm_campaign=bonly26_speakers&utm_content=pierre_noizat_energie_monnaie,À créer et vérifier
Facebook,B26-SPK-PN-FB,https://go.alpinechain.xyz/b26-pn-fb,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-PN-FB&utm_source=facebook&utm_medium=social&utm_campaign=bonly26_speakers&utm_content=pierre_noizat_energie_monnaie,À créer et vérifier
Instagram,B26-SPK-PN-IG,https://go.alpinechain.xyz/b26-pn-ig,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-PN-IG&utm_source=instagram&utm_medium=social&utm_campaign=bonly26_speakers&utm_content=pierre_noizat_energie_monnaie,À créer et vérifier
Nostr,B26-SPK-PN-NOSTR,https://go.alpinechain.xyz/b26-pn-nostr,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-PN-NOSTR&utm_source=nostr&utm_medium=social&utm_campaign=bonly26_speakers&utm_content=pierre_noizat_energie_monnaie,À créer et vérifier
Blog,B26-SPK-PN-BLOG,https://go.alpinechain.xyz/b26-pn-blog,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-PN-BLOG&utm_source=blog&utm_medium=article&utm_campaign=bonly26_speakers&utm_content=pierre_noizat_energie_monnaie,À créer et vérifier
