date_local,time_local,timezone,channel,account,status,asset,short_url
2026-09-10,08:00,Europe/Paris,Blog,AlpineChain,Prêt à relire,Texte long commun Blog-Nostr et vignette validée,https://go.alpinechain.xyz/b26-pn-blog
2026-09-10,12:15,Europe/Paris,Nostr,AlpineChain,Publication manuelle,Texte long commun Blog-Nostr et vignette validée,https://go.alpinechain.xyz/b26-pn-nostr
2026-09-10,18:15,Europe/Paris,LinkedIn,AlpineChain,Prêt à relire,Vignette validée,https://go.alpinechain.xyz/b26-pn-li-ac
2026-09-11,08:15,Europe/Paris,LinkedIn,Annecy Bitcoin Meetup,Prêt à relire,Vignette validée,https://go.alpinechain.xyz/b26-pn-li-abm
2026-09-11,18:15,Europe/Paris,X,AlpineChain,Prêt à relire,Vignette validée,https://go.alpinechain.xyz/b26-pn-x
2026-09-12,18:30,Europe/Paris,Facebook,B-Only,Prêt à relire,Vignette validée,https://go.alpinechain.xyz/b26-pn-fb
2026-09-12,20:00,Europe/Paris,Instagram,B-Only,Prêt à relire,Vignette validée et Reel HeyGen optionnel,https://go.alpinechain.xyz/b26-pn-ig
