sponsor,channel,short_url,destination_url,voucher,utm_source,utm_medium,utm_campaign,utm_content
Paymium,X,https://go.alpinechain.xyz/b26-pay-x,"https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPO-PAY-X&utm_source=x&utm_medium=social&utm_campaign=bonly26_sponsors&utm_content=paymium_announcement",B26-SPO-PAY-X,x,social,bonly26_sponsors,paymium_announcement
Paymium,LinkedIn ABM,https://go.alpinechain.xyz/b26-pay-li-abm,"https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPO-PAY-LIABM&utm_source=linkedin_abm&utm_medium=social&utm_campaign=bonly26_sponsors&utm_content=paymium_announcement",B26-SPO-PAY-LIABM,linkedin_abm,social,bonly26_sponsors,paymium_announcement
Paymium,LinkedIn AlpineChain,https://go.alpinechain.xyz/b26-pay-li-ac,"https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPO-PAY-LIAC&utm_source=linkedin_alpinechain&utm_medium=social&utm_campaign=bonly26_sponsors&utm_content=paymium_announcement",B26-SPO-PAY-LIAC,linkedin_alpinechain,social,bonly26_sponsors,paymium_announcement
Paymium,Facebook,https://go.alpinechain.xyz/b26-pay-fb,"https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPO-PAY-FB&utm_source=facebook&utm_medium=social&utm_campaign=bonly26_sponsors&utm_content=paymium_announcement",B26-SPO-PAY-FB,facebook,social,bonly26_sponsors,paymium_announcement
Paymium,Instagram,https://go.alpinechain.xyz/b26-pay-ig,"https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPO-PAY-IG&utm_source=instagram&utm_medium=social&utm_campaign=bonly26_sponsors&utm_content=paymium_announcement",B26-SPO-PAY-IG,instagram,social,bonly26_sponsors,paymium_announcement
Paymium,Nostr,https://go.alpinechain.xyz/b26-pay-nostr,"https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPO-PAY-NOSTR&utm_source=nostr&utm_medium=social&utm_campaign=bonly26_sponsors&utm_content=paymium_announcement",B26-SPO-PAY-NOSTR,nostr,social,bonly26_sponsors,paymium_announcement
Paymium,Blog,https://go.alpinechain.xyz/b26-pay-blog,"https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPO-PAY-BLOG&utm_source=blog&utm_medium=article&utm_campaign=bonly26_sponsors&utm_content=paymium_article",B26-SPO-PAY-BLOG,blog,article,bonly26_sponsors,paymium_article
