channel,utm_source,utm_medium,utm_campaign,utm_content,voucher_code,short_url,destination_url
X,x,social,bonly26_speakers,aurore_galves_have_fun_staying_fun,B26-SPK-AG-X,https://go.alpinechain.xyz/b26-ag-x,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-AG-X&utm_source=x&utm_medium=social&utm_campaign=bonly26_speakers&utm_content=aurore_galves_have_fun_staying_fun
LinkedIn Annecy Bitcoin Meetup,linkedin_abm,social,bonly26_speakers,aurore_galves_have_fun_staying_fun,B26-SPK-AG-LIABM,https://go.alpinechain.xyz/b26-ag-li-abm,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-AG-LIABM&utm_source=linkedin_abm&utm_medium=social&utm_campaign=bonly26_speakers&utm_content=aurore_galves_have_fun_staying_fun
LinkedIn AlpineChain,linkedin_alpinechain,social,bonly26_speakers,aurore_galves_have_fun_staying_fun,B26-SPK-AG-LIAC,https://go.alpinechain.xyz/b26-ag-li-ac,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-AG-LIAC&utm_source=linkedin_alpinechain&utm_medium=social&utm_campaign=bonly26_speakers&utm_content=aurore_galves_have_fun_staying_fun
Facebook,facebook,social,bonly26_speakers,aurore_galves_have_fun_staying_fun,B26-SPK-AG-FB,https://go.alpinechain.xyz/b26-ag-fb,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-AG-FB&utm_source=facebook&utm_medium=social&utm_campaign=bonly26_speakers&utm_content=aurore_galves_have_fun_staying_fun
Instagram,instagram,social,bonly26_speakers,aurore_galves_have_fun_staying_fun,B26-SPK-AG-IG,https://go.alpinechain.xyz/b26-ag-ig,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-AG-IG&utm_source=instagram&utm_medium=social&utm_campaign=bonly26_speakers&utm_content=aurore_galves_have_fun_staying_fun
Nostr,nostr,social,bonly26_speakers,aurore_galves_have_fun_staying_fun,B26-SPK-AG-NOSTR,https://go.alpinechain.xyz/b26-ag-nostr,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-AG-NOSTR&utm_source=nostr&utm_medium=social&utm_campaign=bonly26_speakers&utm_content=aurore_galves_have_fun_staying_fun
