sponsor,channel,short_url,destination_url,voucher,utm_source,utm_medium,utm_campaign,utm_content
Le Cercle du Coin,X,https://go.alpinechain.xyz/b26-cdc-x,"https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPO-CDC-X&utm_source=x&utm_medium=social&utm_campaign=bonly26_sponsors&utm_content=cercle_du_coin_announcement",B26-SPO-CDC-X,x,social,bonly26_sponsors,cercle_du_coin_announcement
Le Cercle du Coin,LinkedIn ABM,https://go.alpinechain.xyz/b26-cdc-li-abm,"https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPO-CDC-LIABM&utm_source=linkedin_abm&utm_medium=social&utm_campaign=bonly26_sponsors&utm_content=cercle_du_coin_announcement",B26-SPO-CDC-LIABM,linkedin_abm,social,bonly26_sponsors,cercle_du_coin_announcement
Le Cercle du Coin,LinkedIn AlpineChain,https://go.alpinechain.xyz/b26-cdc-li-ac,"https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPO-CDC-LIAC&utm_source=linkedin_alpinechain&utm_medium=social&utm_campaign=bonly26_sponsors&utm_content=cercle_du_coin_announcement",B26-SPO-CDC-LIAC,linkedin_alpinechain,social,bonly26_sponsors,cercle_du_coin_announcement
Le Cercle du Coin,Facebook,https://go.alpinechain.xyz/b26-cdc-fb,"https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPO-CDC-FB&utm_source=facebook&utm_medium=social&utm_campaign=bonly26_sponsors&utm_content=cercle_du_coin_announcement",B26-SPO-CDC-FB,facebook,social,bonly26_sponsors,cercle_du_coin_announcement
Le Cercle du Coin,Instagram,https://go.alpinechain.xyz/b26-cdc-ig,"https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPO-CDC-IG&utm_source=instagram&utm_medium=social&utm_campaign=bonly26_sponsors&utm_content=cercle_du_coin_announcement",B26-SPO-CDC-IG,instagram,social,bonly26_sponsors,cercle_du_coin_announcement
Le Cercle du Coin,Nostr,https://go.alpinechain.xyz/b26-cdc-nostr,"https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPO-CDC-NOSTR&utm_source=nostr&utm_medium=social&utm_campaign=bonly26_sponsors&utm_content=cercle_du_coin_announcement",B26-SPO-CDC-NOSTR,nostr,social,bonly26_sponsors,cercle_du_coin_announcement
Le Cercle du Coin,Blog,https://go.alpinechain.xyz/b26-cdc-blog,"https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPO-CDC-BLOG&utm_source=blog&utm_medium=article&utm_campaign=bonly26_sponsors&utm_content=cercle_du_coin_article",B26-SPO-CDC-BLOG,blog,article,bonly26_sponsors,cercle_du_coin_article
