channel,utm_source,utm_medium,utm_campaign,utm_content,voucher_code,short_url,destination_url
X,x,social,bonly26_speakers,profedustream_quantique,B26-SPK-PESQ-X,https://go.alpinechain.xyz/b26-pes-q-x,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-PESQ-X&utm_source=x&utm_medium=social&utm_campaign=bonly26_speakers&utm_content=profedustream_quantique
LinkedIn Annecy Bitcoin Meetup,linkedin_abm,social,bonly26_speakers,profedustream_quantique,B26-SPK-PESQ-LIABM,https://go.alpinechain.xyz/b26-pes-q-li-abm,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-PESQ-LIABM&utm_source=linkedin_abm&utm_medium=social&utm_campaign=bonly26_speakers&utm_content=profedustream_quantique
LinkedIn AlpineChain,linkedin_alpinechain,social,bonly26_speakers,profedustream_quantique,B26-SPK-PESQ-LIAC,https://go.alpinechain.xyz/b26-pes-q-li-ac,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-PESQ-LIAC&utm_source=linkedin_alpinechain&utm_medium=social&utm_campaign=bonly26_speakers&utm_content=profedustream_quantique
Facebook,facebook,social,bonly26_speakers,profedustream_quantique,B26-SPK-PESQ-FB,https://go.alpinechain.xyz/b26-pes-q-fb,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-PESQ-FB&utm_source=facebook&utm_medium=social&utm_campaign=bonly26_speakers&utm_content=profedustream_quantique
Instagram,instagram,social,bonly26_speakers,profedustream_quantique,B26-SPK-PESQ-IG,https://go.alpinechain.xyz/b26-pes-q-ig,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-PESQ-IG&utm_source=instagram&utm_medium=social&utm_campaign=bonly26_speakers&utm_content=profedustream_quantique
Nostr,nostr,social,bonly26_speakers,profedustream_quantique,B26-SPK-PESQ-NOSTR,https://go.alpinechain.xyz/b26-pes-q-nostr,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-PESQ-NOSTR&utm_source=nostr&utm_medium=social&utm_campaign=bonly26_speakers&utm_content=profedustream_quantique
Blog,blog,article,bonly26_speakers,profedustream_quantique,B26-SPK-PESQ-BLOG,https://go.alpinechain.xyz/b26-pes-q-blog,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-PESQ-BLOG&utm_source=blog&utm_medium=article&utm_campaign=bonly26_speakers&utm_content=profedustream_quantique
