channel,utm_source,utm_medium,utm_campaign,utm_content,voucher_code,short_url,destination_url
X,x,social,bonly26_speakers,profedustream_workshops,B26-SPK-PESW-X,https://go.alpinechain.xyz/b26-pes-w-x,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-PESW-X&utm_source=x&utm_medium=social&utm_campaign=bonly26_speakers&utm_content=profedustream_workshops
LinkedIn Annecy Bitcoin Meetup,linkedin_abm,social,bonly26_speakers,profedustream_workshops,B26-SPK-PESW-LIABM,https://go.alpinechain.xyz/b26-pes-w-li-abm,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-PESW-LIABM&utm_source=linkedin_abm&utm_medium=social&utm_campaign=bonly26_speakers&utm_content=profedustream_workshops
LinkedIn AlpineChain,linkedin_alpinechain,social,bonly26_speakers,profedustream_workshops,B26-SPK-PESW-LIAC,https://go.alpinechain.xyz/b26-pes-w-li-ac,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-PESW-LIAC&utm_source=linkedin_alpinechain&utm_medium=social&utm_campaign=bonly26_speakers&utm_content=profedustream_workshops
Facebook,facebook,social,bonly26_speakers,profedustream_workshops,B26-SPK-PESW-FB,https://go.alpinechain.xyz/b26-pes-w-fb,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-PESW-FB&utm_source=facebook&utm_medium=social&utm_campaign=bonly26_speakers&utm_content=profedustream_workshops
Instagram,instagram,social,bonly26_speakers,profedustream_workshops,B26-SPK-PESW-IG,https://go.alpinechain.xyz/b26-pes-w-ig,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-PESW-IG&utm_source=instagram&utm_medium=social&utm_campaign=bonly26_speakers&utm_content=profedustream_workshops
Nostr,nostr,social,bonly26_speakers,profedustream_workshops,B26-SPK-PESW-NOSTR,https://go.alpinechain.xyz/b26-pes-w-nostr,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-PESW-NOSTR&utm_source=nostr&utm_medium=social&utm_campaign=bonly26_speakers&utm_content=profedustream_workshops
Blog,blog,article,bonly26_speakers,profedustream_workshops,B26-SPK-PESW-BLOG,https://go.alpinechain.xyz/b26-pes-w-blog,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-PESW-BLOG&utm_source=blog&utm_medium=article&utm_campaign=bonly26_speakers&utm_content=profedustream_workshops
