date_local,time_local,timezone,channel,account,status,asset,short_url
2026-09-21,08:00,Europe/Paris,Blog,AlpineChain,À relire,Article et vignette workshops V1,https://go.alpinechain.xyz/b26-pes-w-blog
2026-09-21,12:15,Europe/Paris,LinkedIn,AlpineChain,À relire,Vignette workshops V1,https://go.alpinechain.xyz/b26-pes-w-li-ac
2026-09-22,08:15,Europe/Paris,LinkedIn,Annecy Bitcoin Meetup,À relire,Vignette workshops V1,https://go.alpinechain.xyz/b26-pes-w-li-abm
2026-09-22,18:15,Europe/Paris,X,AlpineChain,À relire,Vignette workshops V1,https://go.alpinechain.xyz/b26-pes-w-x
2026-09-23,12:15,Europe/Paris,Nostr,AlpineChain,À relire,Vignette workshops V1,https://go.alpinechain.xyz/b26-pes-w-nostr
2026-09-24,18:30,Europe/Paris,Facebook,B-Only,À relire,Vignette workshops V1,https://go.alpinechain.xyz/b26-pes-w-fb
2026-09-25,18:30,Europe/Paris,Instagram,B-Only,À relire,Vignette workshops V1,https://go.alpinechain.xyz/b26-pes-w-ig
