sponsor,channel,short_url,destination_url,voucher,utm_source,utm_medium,utm_campaign,utm_content
Bitstack,X,https://go.alpinechain.xyz/b26-bs-x,"https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPO-BS-X&utm_source=x&utm_medium=social&utm_campaign=bonly26_sponsors&utm_content=bitstack_announcement",B26-SPO-BS-X,x,social,bonly26_sponsors,bitstack_announcement
Bitstack,LinkedIn ABM,https://go.alpinechain.xyz/b26-bs-li-abm,"https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPO-BS-LIABM&utm_source=linkedin_abm&utm_medium=social&utm_campaign=bonly26_sponsors&utm_content=bitstack_announcement",B26-SPO-BS-LIABM,linkedin_abm,social,bonly26_sponsors,bitstack_announcement
Bitstack,LinkedIn AlpineChain,https://go.alpinechain.xyz/b26-bs-li-ac,"https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPO-BS-LIAC&utm_source=linkedin_alpinechain&utm_medium=social&utm_campaign=bonly26_sponsors&utm_content=bitstack_announcement",B26-SPO-BS-LIAC,linkedin_alpinechain,social,bonly26_sponsors,bitstack_announcement
Bitstack,Facebook,https://go.alpinechain.xyz/b26-bs-fb,"https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPO-BS-FB&utm_source=facebook&utm_medium=social&utm_campaign=bonly26_sponsors&utm_content=bitstack_announcement",B26-SPO-BS-FB,facebook,social,bonly26_sponsors,bitstack_announcement
Bitstack,Instagram,https://go.alpinechain.xyz/b26-bs-ig,"https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPO-BS-IG&utm_source=instagram&utm_medium=social&utm_campaign=bonly26_sponsors&utm_content=bitstack_announcement",B26-SPO-BS-IG,instagram,social,bonly26_sponsors,bitstack_announcement
Bitstack,Nostr,https://go.alpinechain.xyz/b26-bs-nostr,"https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPO-BS-NOSTR&utm_source=nostr&utm_medium=social&utm_campaign=bonly26_sponsors&utm_content=bitstack_announcement",B26-SPO-BS-NOSTR,nostr,social,bonly26_sponsors,bitstack_announcement
Bitstack,Blog,https://go.alpinechain.xyz/b26-bs-blog,"https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPO-BS-BLOG&utm_source=blog&utm_medium=article&utm_campaign=bonly26_sponsors&utm_content=bitstack_article",B26-SPO-BS-BLOG,blog,article,bonly26_sponsors,bitstack_article
