channel,utm_source,utm_medium,utm_campaign,utm_content,voucher_code,short_url,destination_url,status
X,x,social,bonly26_speakers,florent_gabriel_ia_bitcoin,B26-SPK-FG-X,https://go.alpinechain.xyz/b26-fg-x,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-FG-X&utm_source=x&utm_medium=social&utm_campaign=bonly26_speakers&utm_content=florent_gabriel_ia_bitcoin,À créer et vérifier
LinkedIn Annecy Bitcoin Meetup,linkedin_abm,social,bonly26_speakers,florent_gabriel_ia_bitcoin,B26-SPK-FG-LIABM,https://go.alpinechain.xyz/b26-fg-li-abm,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-FG-LIABM&utm_source=linkedin_abm&utm_medium=social&utm_campaign=bonly26_speakers&utm_content=florent_gabriel_ia_bitcoin,À créer et vérifier
LinkedIn AlpineChain,linkedin_alpinechain,social,bonly26_speakers,florent_gabriel_ia_bitcoin,B26-SPK-FG-LIAC,https://go.alpinechain.xyz/b26-fg-li-ac,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-FG-LIAC&utm_source=linkedin_alpinechain&utm_medium=social&utm_campaign=bonly26_speakers&utm_content=florent_gabriel_ia_bitcoin,À créer et vérifier
Facebook,facebook,social,bonly26_speakers,florent_gabriel_ia_bitcoin,B26-SPK-FG-FB,https://go.alpinechain.xyz/b26-fg-fb,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-FG-FB&utm_source=facebook&utm_medium=social&utm_campaign=bonly26_speakers&utm_content=florent_gabriel_ia_bitcoin,À créer et vérifier
Instagram,instagram,social,bonly26_speakers,florent_gabriel_ia_bitcoin,B26-SPK-FG-IG,https://go.alpinechain.xyz/b26-fg-ig,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-FG-IG&utm_source=instagram&utm_medium=social&utm_campaign=bonly26_speakers&utm_content=florent_gabriel_ia_bitcoin,À créer et vérifier
Nostr,nostr,social,bonly26_speakers,florent_gabriel_ia_bitcoin,B26-SPK-FG-NOSTR,https://go.alpinechain.xyz/b26-fg-nostr,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-FG-NOSTR&utm_source=nostr&utm_medium=social&utm_campaign=bonly26_speakers&utm_content=florent_gabriel_ia_bitcoin,À créer et vérifier
