channel,voucher_code,short_url,destination_url
X,B26-SPK-CJ-X,https://go.alpinechain.xyz/b26-cj-x,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-CJ-X&utm_source=x&utm_medium=social&utm_campaign=bonly26_speakers&utm_content=christine_jeanneaux_mimetisme
LinkedIn Annecy Bitcoin Meetup,B26-SPK-CJ-LIABM,https://go.alpinechain.xyz/b26-cj-li-abm,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-CJ-LIABM&utm_source=linkedin_abm&utm_medium=social&utm_campaign=bonly26_speakers&utm_content=christine_jeanneaux_mimetisme
LinkedIn AlpineChain,B26-SPK-CJ-LIAC,https://go.alpinechain.xyz/b26-cj-li-ac,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-CJ-LIAC&utm_source=linkedin_alpinechain&utm_medium=social&utm_campaign=bonly26_speakers&utm_content=christine_jeanneaux_mimetisme
Facebook,B26-SPK-CJ-FB,https://go.alpinechain.xyz/b26-cj-fb,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-CJ-FB&utm_source=facebook&utm_medium=social&utm_campaign=bonly26_speakers&utm_content=christine_jeanneaux_mimetisme
Instagram,B26-SPK-CJ-IG,https://go.alpinechain.xyz/b26-cj-ig,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-CJ-IG&utm_source=instagram&utm_medium=social&utm_campaign=bonly26_speakers&utm_content=christine_jeanneaux_mimetisme
Nostr,B26-SPK-CJ-NOSTR,https://go.alpinechain.xyz/b26-cj-nostr,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-CJ-NOSTR&utm_source=nostr&utm_medium=social&utm_campaign=bonly26_speakers&utm_content=christine_jeanneaux_mimetisme
Blog,B26-SPK-CJ-BLOG,https://go.alpinechain.xyz/b26-cj-blog,https://join.alpinechain.xyz/org/bonly26/redeem?voucher=B26-SPK-CJ-BLOG&utm_source=blog&utm_medium=article&utm_campaign=bonly26_speakers&utm_content=christine_jeanneaux_mimetisme
